ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4,rank_G5,rank_G6
Hyena_535,5,11,3,1,3,NA,NA,NA
Hyena_536,5,11,3,1,3,NA,NA,NA
Hyena_537,6,24,28,9,6,NA,NA,NA
Hyena_538,6,24,28,9,6,NA,NA,NA
Hyena_539,5,3,4,2,3,NA,NA,NA
Hyena_540,5,3,4,2,3,NA,NA,NA
Hyena_541,5,23,15,10,5,NA,NA,NA
Hyena_542,5,23,15,10,5,NA,NA,NA
Hyena_543,4,1,2,3,NA,NA,NA,NA
Hyena_544,4,1,2,3,NA,NA,NA,NA
Hyena_545,5,30,43,19,13,NA,NA,NA
Hyena_546,5,4,6,2,3,NA,NA,NA
Hyena_547,5,4,6,2,3,NA,NA,NA
Hyena_548,5,23,9,3,3,NA,NA,NA
Hyena_549,4,14,7,3,NA,NA,NA,NA
Hyena_550,4,14,7,3,NA,NA,NA,NA
Hyena_551,5,18,14,5,3,NA,NA,NA
Hyena_552,5,18,14,5,3,NA,NA,NA
Hyena_553,6,6,7,4,2,3,NA,NA
Hyena_554,6,6,7,4,2,3,NA,NA
Hyena_555,5,32,43,19,13,NA,NA,NA
Hyena_556,5,12,2,1,3,NA,NA,NA
Hyena_557,5,7,4,2,3,NA,NA,NA
Hyena_558,5,24,21,3,1,NA,NA,NA
Hyena_559,5,7,4,2,3,NA,NA,NA
Hyena_560,5,4,4,2,3,NA,NA,NA
Hyena_561,5,4,4,2,3,NA,NA,NA
Hyena_562,5,15,12,4,3,NA,NA,NA
Hyena_563,5,15,12,4,3,NA,NA,NA
Hyena_567,2,1,NA,NA,NA,NA,NA,NA
Hyena_573,3,3,NA,NA,NA,NA,NA,NA
Hyena_575,2,1,NA,NA,NA,NA,NA,NA
Hyena_576,3,3,NA,NA,NA,NA,NA,NA
Hyena_577,3,3,NA,NA,NA,NA,NA,NA
Hyena_578,3,2,NA,NA,NA,NA,NA,NA
Hyena_579,3,4,NA,NA,NA,NA,NA,NA
Hyena_580,3,4,NA,NA,NA,NA,NA,NA
Hyena_581,3,3,NA,NA,NA,NA,NA,NA
Hyena_582,3,3,NA,NA,NA,NA,NA,NA
Hyena_583,2,1,NA,NA,NA,NA,NA,NA
Hyena_584,2,1,NA,NA,NA,NA,NA,NA
Hyena_585,3,4,NA,NA,NA,NA,NA,NA
Hyena_586,3,4,NA,NA,NA,NA,NA,NA
Hyena_587,3,5,NA,NA,NA,NA,NA,NA
Hyena_588,3,5,NA,NA,NA,NA,NA,NA
Hyena_589,3,3,1,NA,NA,NA,NA,NA
Hyena_590,3,3,1,NA,NA,NA,NA,NA
Hyena_591,3,4,NA,NA,NA,NA,NA,NA
Hyena_592,3,4,NA,NA,NA,NA,NA,NA
Hyena_593,3,2,1,NA,NA,NA,NA,NA
Hyena_594,3,2,1,NA,NA,NA,NA,NA
Hyena_595,2,9,NA,NA,NA,NA,NA,NA
Hyena_596,2,9,NA,NA,NA,NA,NA,NA
Hyena_597,4,9,3,NA,NA,NA,NA,NA
Hyena_598,4,5,3,NA,NA,NA,NA,NA
Hyena_599,4,6,3,NA,NA,NA,NA,NA
Hyena_600,4,6,3,NA,NA,NA,NA,NA
Hyena_601,3,7,NA,NA,NA,NA,NA,NA
Hyena_602,3,3,1,NA,NA,NA,NA,NA
Hyena_603,3,3,1,NA,NA,NA,NA,NA
Hyena_604,2,1,NA,NA,NA,NA,NA,NA
Hyena_605,3,4,NA,NA,NA,NA,NA,NA
Hyena_606,3,4,NA,NA,NA,NA,NA,NA
Hyena_607,3,2,1,NA,NA,NA,NA,NA
Hyena_608,3,2,1,NA,NA,NA,NA,NA
Hyena_609,4,9,3,NA,NA,NA,NA,NA
Hyena_610,3,2,1,NA,NA,NA,NA,NA
Hyena_611,3,2,1,NA,NA,NA,NA,NA
Hyena_612,2,13,NA,NA,NA,NA,NA,NA
Hyena_613,3,4,NA,NA,NA,NA,NA,NA
Hyena_614,3,6,NA,NA,NA,NA,NA,NA
Hyena_615,3,6,NA,NA,NA,NA,NA,NA
Hyena_616,3,2,1,NA,NA,NA,NA,NA
Hyena_617,3,2,1,NA,NA,NA,NA,NA
Hyena_618,4,4,3,NA,NA,NA,NA,NA
Hyena_619,4,3,3,1,NA,NA,NA,NA
Hyena_620,3,1,1,NA,NA,NA,NA,NA
Hyena_621,3,1,1,NA,NA,NA,NA,NA
Hyena_622,4,7,4,NA,NA,NA,NA,NA
Hyena_623,4,8,3,NA,NA,NA,NA,NA
Hyena_624,4,8,3,NA,NA,NA,NA,NA
Hyena_625,4,8,3,NA,NA,NA,NA,NA
Hyena_626,4,4,3,NA,NA,NA,NA,NA
Hyena_627,4,4,3,NA,NA,NA,NA,NA
Hyena_628,3,3,1,NA,NA,NA,NA,NA
Hyena_629,3,3,1,NA,NA,NA,NA,NA
Hyena_630,2,13,NA,NA,NA,NA,NA,NA
Hyena_631,4,2,2,1,NA,NA,NA,NA
Hyena_632,4,2,2,1,NA,NA,NA,NA
Hyena_633,4,7,5,NA,NA,NA,NA,NA
Hyena_634,3,1,1,NA,NA,NA,NA,NA
Hyena_635,4,5,3,1,NA,NA,NA,NA
Hyena_636,4,5,3,1,NA,NA,NA,NA
Hyena_637,4,10,4,NA,NA,NA,NA,NA
Hyena_638,4,8,3,NA,NA,NA,NA,NA
Hyena_639,3,15,9,NA,NA,NA,NA,NA
Hyena_640,3,16,9,NA,NA,NA,NA,NA
Hyena_641,5,13,9,3,NA,NA,NA,NA
Hyena_642,5,13,9,3,NA,NA,NA,NA
Hyena_643,4,2,2,1,NA,NA,NA,NA
Hyena_644,3,1,1,NA,NA,NA,NA,NA
Hyena_645,4,10,3,NA,NA,NA,NA,NA
Hyena_646,2,13,NA,NA,NA,NA,NA,NA
Hyena_647,4,6,3,NA,NA,NA,NA,NA
Hyena_648,4,4,2,1,NA,NA,NA,NA
Hyena_649,3,15,9,NA,NA,NA,NA,NA
Hyena_650,3,15,9,NA,NA,NA,NA,NA
Hyena_651,5,12,9,3,NA,NA,NA,NA
Hyena_652,3,3,1,NA,NA,NA,NA,NA
Hyena_653,3,3,1,NA,NA,NA,NA,NA
Hyena_654,4,9,4,NA,NA,NA,NA,NA
Hyena_655,4,4,2,1,NA,NA,NA,NA
Hyena_656,4,6,3,1,NA,NA,NA,NA
Hyena_657,4,6,3,1,NA,NA,NA,NA
Hyena_658,4,2,2,1,NA,NA,NA,NA
Hyena_659,4,2,2,1,NA,NA,NA,NA
Hyena_660,3,1,1,NA,NA,NA,NA,NA
Hyena_661,3,1,1,NA,NA,NA,NA,NA
Hyena_662,5,3,2,2,1,NA,NA,NA
Hyena_663,5,13,8,3,NA,NA,NA,NA
Hyena_664,4,9,3,NA,NA,NA,NA,NA
Hyena_665,3,17,9,NA,NA,NA,NA,NA
Hyena_666,3,17,9,NA,NA,NA,NA,NA
Hyena_667,5,7,4,3,NA,NA,NA,NA
Hyena_668,5,13,9,3,NA,NA,NA,NA
Hyena_669,4,11,3,NA,NA,NA,NA,NA
Hyena_670,3,17,13,NA,NA,NA,NA,NA
Hyena_671,3,17,13,NA,NA,NA,NA,NA
Hyena_672,4,2,1,1,NA,NA,NA,NA
Hyena_673,3,20,9,NA,NA,NA,NA,NA
Hyena_674,5,6,5,3,1,NA,NA,NA
Hyena_675,4,3,2,1,NA,NA,NA,NA
Hyena_676,4,10,4,NA,NA,NA,NA,NA
Hyena_677,4,9,3,NA,NA,NA,NA,NA
Hyena_678,4,9,3,NA,NA,NA,NA,NA
Hyena_679,5,4,2,2,1,NA,NA,NA
Hyena_680,5,19,9,3,NA,NA,NA,NA
Hyena_681,3,23,9,NA,NA,NA,NA,NA
Hyena_682,5,11,4,3,NA,NA,NA,NA
Hyena_683,5,17,8,3,NA,NA,NA,NA
Hyena_684,3,1,1,NA,NA,NA,NA,NA
Hyena_685,3,1,1,NA,NA,NA,NA,NA
Hyena_686,3,23,13,NA,NA,NA,NA,NA
Hyena_687,3,23,13,NA,NA,NA,NA,NA
Hyena_688,4,7,3,1,NA,NA,NA,NA
Hyena_689,4,7,3,1,NA,NA,NA,NA
Hyena_690,4,7,3,1,NA,NA,NA,NA
Hyena_691,5,10,5,3,1,NA,NA,NA
Hyena_692,4,3,1,1,NA,NA,NA,NA
Hyena_693,5,18,8,3,NA,NA,NA,NA
Hyena_694,5,18,8,3,NA,NA,NA,NA
Hyena_695,5,12,4,3,NA,NA,NA,NA
Hyena_696,5,12,4,3,NA,NA,NA,NA
Hyena_697,5,20,9,3,NA,NA,NA,NA
Hyena_698,5,14,7,5,NA,NA,NA,NA
Hyena_699,3,21,13,NA,NA,NA,NA,NA
Hyena_700,4,25,15,9,NA,NA,NA,NA
Hyena_701,5,9,5,3,1,NA,NA,NA
Hyena_702,5,19,9,3,NA,NA,NA,NA
Hyena_703,5,19,9,3,NA,NA,NA,NA
Hyena_704,4,12,3,NA,NA,NA,NA,NA
Hyena_705,4,12,3,NA,NA,NA,NA,NA
Hyena_706,4,29,15,9,NA,NA,NA,NA
Hyena_707,4,28,15,9,NA,NA,NA,NA
Hyena_708,3,24,9,NA,NA,NA,NA,NA
Hyena_709,3,24,9,NA,NA,NA,NA,NA
Hyena_710,5,11,6,3,NA,NA,NA,NA
Hyena_711,4,3,1,1,NA,NA,NA,NA
Hyena_712,4,2,1,1,NA,NA,NA,NA
Hyena_713,3,1,1,NA,NA,NA,NA,NA
Hyena_714,4,4,2,1,NA,NA,NA,NA
Hyena_715,4,27,15,9,NA,NA,NA,NA
Hyena_716,5,8,6,3,1,NA,NA,NA
Hyena_717,4,5,3,1,NA,NA,NA,NA
Hyena_718,5,9,5,3,1,NA,NA,NA
Hyena_719,3,20,13,NA,NA,NA,NA,NA
Hyena_720,5,7,6,3,1,NA,NA,NA
Hyena_721,4,2,1,1,NA,NA,NA,NA
Hyena_722,5,19,9,3,NA,NA,NA,NA
Hyena_723,5,19,9,3,NA,NA,NA,NA
Hyena_724,5,15,7,5,NA,NA,NA,NA
Hyena_725,5,15,7,5,NA,NA,NA,NA
Hyena_726,5,14,9,4,NA,NA,NA,NA
Hyena_727,5,14,9,4,NA,NA,NA,NA
Hyena_728,5,9,4,3,NA,NA,NA,NA
Hyena_729,4,16,15,9,NA,NA,NA,NA
Hyena_730,4,16,15,9,NA,NA,NA,NA
Hyena_731,5,8,6,3,NA,NA,NA,NA
Hyena_732,4,1,1,1,NA,NA,NA,NA
Hyena_733,4,7,3,1,NA,NA,NA,NA
Hyena_734,4,7,3,1,NA,NA,NA,NA
Hyena_735,6,6,4,2,2,1,NA,NA
Hyena_736,6,6,4,2,2,1,NA,NA
Hyena_737,4,3,2,1,NA,NA,NA,NA
Hyena_738,5,9,5,3,1,NA,NA,NA
Hyena_739,5,2,2,1,1,NA,NA,NA
Hyena_740,5,12,9,3,NA,NA,NA,NA
Hyena_741,4,4,1,1,NA,NA,NA,NA
Hyena_742,5,15,9,4,NA,NA,NA,NA
Hyena_743,3,16,13,NA,NA,NA,NA,NA
Hyena_744,4,3,1,1,NA,NA,NA,NA
Hyena_745,4,5,2,1,NA,NA,NA,NA
Hyena_746,5,8,7,3,1,NA,NA,NA
Hyena_747,5,12,9,3,NA,NA,NA,NA
Hyena_748,4,1,1,1,NA,NA,NA,NA
Hyena_749,4,1,1,1,NA,NA,NA,NA
Hyena_750,4,11,15,9,NA,NA,NA,NA
Hyena_751,4,4,3,1,NA,NA,NA,NA
Hyena_752,4,4,3,1,NA,NA,NA,NA
Hyena_753,4,11,15,9,NA,NA,NA,NA
Hyena_754,5,2,2,1,1,NA,NA,NA
Hyena_755,5,8,9,3,NA,NA,NA,NA
Hyena_756,5,8,9,3,NA,NA,NA,NA
Hyena_757,5,6,6,3,NA,NA,NA,NA
Hyena_758,4,18,17,9,NA,NA,NA,NA
Hyena_759,5,8,9,3,NA,NA,NA,NA
Hyena_760,5,8,9,3,NA,NA,NA,NA
Hyena_761,6,3,4,2,2,1,NA,NA
Hyena_762,6,3,4,2,2,1,NA,NA
Hyena_763,5,6,5,3,1,NA,NA,NA
Hyena_764,3,12,13,NA,NA,NA,NA,NA
Hyena_765,3,12,13,NA,NA,NA,NA,NA
Hyena_766,4,13,15,9,NA,NA,NA,NA
Hyena_767,4,1,1,1,NA,NA,NA,NA
Hyena_768,5,6,5,3,1,NA,NA,NA
Hyena_769,5,2,2,1,1,NA,NA,NA
Hyena_770,5,2,2,1,1,NA,NA,NA
Hyena_771,7,3,6,4,2,2,1,NA
Hyena_772,5,14,16,15,9,NA,NA,NA
Hyena_773,5,14,16,15,9,NA,NA,NA
Hyena_774,4,11,17,9,NA,NA,NA,NA
Hyena_775,5,9,9,3,NA,NA,NA,NA
Hyena_776,5,7,9,3,NA,NA,NA,NA
Hyena_777,6,5,9,5,3,1,NA,NA
Hyena_778,5,4,5,3,1,NA,NA,NA
Hyena_779,5,4,5,3,1,NA,NA,NA
Hyena_780,4,15,15,9,NA,NA,NA,NA
Hyena_781,4,15,15,9,NA,NA,NA,NA
Hyena_782,5,2,2,1,1,NA,NA,NA
Hyena_783,4,1,1,1,NA,NA,NA,NA
Hyena_784,5,16,16,15,9,NA,NA,NA
Hyena_785,7,6,6,4,2,2,1,NA
Hyena_786,5,14,16,15,9,NA,NA,NA
Hyena_787,4,11,17,9,NA,NA,NA,NA
Hyena_788,4,11,17,9,NA,NA,NA,NA
Hyena_789,4,4,1,1,NA,NA,NA,NA
Hyena_790,4,4,1,1,NA,NA,NA,NA
Hyena_791,5,1,2,1,1,NA,NA,NA
Hyena_792,5,1,2,1,1,NA,NA,NA
Hyena_793,5,8,9,3,NA,NA,NA,NA
Hyena_794,5,8,9,3,NA,NA,NA,NA
Hyena_795,4,13,15,9,NA,NA,NA,NA
Hyena_796,5,12,18,17,9,NA,NA,NA
Hyena_797,6,9,8,9,3,NA,NA,NA
Hyena_798,8,6,3,6,4,2,2,1
Hyena_799,6,1,2,2,1,1,NA,NA
Hyena_800,6,3,2,2,1,1,NA,NA
Hyena_801,5,12,16,15,9,NA,NA,NA
Hyena_802,5,12,16,15,9,NA,NA,NA
Hyena_803,5,4,1,1,1,NA,NA,NA
Hyena_804,5,4,1,1,1,NA,NA,NA
Hyena_805,7,6,6,4,2,2,1,NA
Hyena_806,7,6,6,4,2,2,1,NA
Hyena_807,6,1,2,2,1,1,NA,NA
Hyena_808,6,1,2,2,1,1,NA,NA
Hyena_809,5,2,2,1,1,NA,NA,NA
Hyena_810,8,5,3,6,4,2,2,1
Hyena_811,8,5,3,6,4,2,2,1
Hyena_812,6,3,2,2,1,1,NA,NA
Hyena_813,6,8,8,9,3,NA,NA,NA
Hyena_814,6,8,8,9,3,NA,NA,NA
Hyena_815,5,9,18,17,9,NA,NA,NA
Hyena_816,5,9,18,17,9,NA,NA,NA
Hyena_817,5,2,2,1,1,NA,NA,NA
Hyena_818,6,8,9,9,3,NA,NA,NA
Hyena_819,5,11,16,15,9,NA,NA,NA
Hyena_820,5,11,16,15,9,NA,NA,NA
Hyena_821,6,1,2,2,1,1,NA,NA
Hyena_822,6,3,2,2,1,1,NA,NA
Hyena_823,6,1,2,2,1,1,NA,NA
Hyena_824,5,2,2,1,1,NA,NA,NA
Hyena_825,6,10,9,9,3,NA,NA,NA
Hyena_826,6,10,9,9,3,NA,NA,NA
Hyena_827,8,7,3,6,4,2,2,1
Hyena_828,5,12,18,17,9,NA,NA,NA
Hyena_829,5,12,18,17,9,NA,NA,NA
Hyena_830,6,9,8,9,3,NA,NA,NA
Hyena_831,6,13,8,9,3,NA,NA,NA
Hyena_832,5,5,1,1,1,NA,NA,NA
Hyena_833,7,2,1,2,2,1,1,NA
Hyena_834,8,7,3,6,4,2,2,1
Hyena_835,8,7,3,6,4,2,2,1
Hyena_836,5,5,1,1,1,NA,NA,NA
Hyena_837,6,4,2,2,1,1,NA,NA
Hyena_838,6,4,2,2,1,1,NA,NA
Hyena_842,3,2,NA,NA,NA,NA,NA,NA
Hyena_844,2,4,NA,NA,NA,NA,NA,NA
Hyena_850,4,1,2,NA,NA,NA,NA,NA
Hyena_851,3,3,NA,NA,NA,NA,NA,NA
Hyena_852,2,1,NA,NA,NA,NA,NA,NA
Hyena_853,3,3,NA,NA,NA,NA,NA,NA
Hyena_854,3,3,NA,NA,NA,NA,NA,NA
Hyena_855,3,3,NA,NA,NA,NA,NA,NA
Hyena_856,4,4,2,NA,NA,NA,NA,NA
Hyena_857,2,7,NA,NA,NA,NA,NA,NA
Hyena_858,3,2,NA,NA,NA,NA,NA,NA
Hyena_859,3,2,NA,NA,NA,NA,NA,NA
Hyena_860,2,5,NA,NA,NA,NA,NA,NA
Hyena_861,3,6,4,NA,NA,NA,NA,NA
Hyena_862,3,6,4,NA,NA,NA,NA,NA
Hyena_863,2,7,NA,NA,NA,NA,NA,NA
Hyena_864,2,7,NA,NA,NA,NA,NA,NA
Hyena_865,3,1,NA,NA,NA,NA,NA,NA
Hyena_866,3,1,NA,NA,NA,NA,NA,NA
Hyena_867,4,2,2,NA,NA,NA,NA,NA
Hyena_868,2,5,NA,NA,NA,NA,NA,NA
Hyena_869,3,4,NA,NA,NA,NA,NA,NA
Hyena_870,3,4,NA,NA,NA,NA,NA,NA
Hyena_871,3,6,4,NA,NA,NA,NA,NA
Hyena_872,3,1,NA,NA,NA,NA,NA,NA
Hyena_873,2,7,NA,NA,NA,NA,NA,NA
Hyena_874,2,7,NA,NA,NA,NA,NA,NA
Hyena_875,4,2,2,NA,NA,NA,NA,NA
Hyena_876,4,4,2,NA,NA,NA,NA,NA
Hyena_877,3,6,NA,NA,NA,NA,NA,NA
Hyena_878,3,9,4,NA,NA,NA,NA,NA
Hyena_879,2,7,NA,NA,NA,NA,NA,NA
Hyena_880,3,6,NA,NA,NA,NA,NA,NA
Hyena_881,4,3,1,NA,NA,NA,NA,NA
Hyena_882,3,1,NA,NA,NA,NA,NA,NA
Hyena_883,4,3,2,NA,NA,NA,NA,NA
Hyena_884,2,10,NA,NA,NA,NA,NA,NA
Hyena_885,2,10,NA,NA,NA,NA,NA,NA
Hyena_886,3,12,7,NA,NA,NA,NA,NA
Hyena_887,5,3,2,2,NA,NA,NA,NA
Hyena_888,3,8,4,NA,NA,NA,NA,NA
Hyena_889,3,8,4,NA,NA,NA,NA,NA
Hyena_890,5,3,2,2,NA,NA,NA,NA
Hyena_891,4,1,2,NA,NA,NA,NA,NA
Hyena_892,5,2,2,2,NA,NA,NA,NA
Hyena_893,5,2,2,2,NA,NA,NA,NA
Hyena_894,4,5,1,NA,NA,NA,NA,NA
Hyena_895,4,5,1,NA,NA,NA,NA,NA
Hyena_896,4,7,4,NA,NA,NA,NA,NA
Hyena_897,4,7,4,NA,NA,NA,NA,NA
Hyena_898,3,4,NA,NA,NA,NA,NA,NA
Hyena_899,4,1,2,NA,NA,NA,NA,NA
Hyena_900,5,2,2,2,NA,NA,NA,NA
Hyena_901,3,9,10,NA,NA,NA,NA,NA
Hyena_902,5,3,3,1,NA,NA,NA,NA
Hyena_903,4,6,4,NA,NA,NA,NA,NA
Hyena_904,4,6,4,NA,NA,NA,NA,NA
Hyena_905,3,10,7,NA,NA,NA,NA,NA
Hyena_906,4,5,6,NA,NA,NA,NA,NA
Hyena_907,3,11,7,NA,NA,NA,NA,NA
Hyena_908,3,4,NA,NA,NA,NA,NA,NA
Hyena_909,3,4,NA,NA,NA,NA,NA,NA
Hyena_910,4,1,2,NA,NA,NA,NA,NA
Hyena_911,3,7,7,NA,NA,NA,NA,NA
Hyena_912,5,2,2,2,NA,NA,NA,NA
Hyena_913,5,2,2,2,NA,NA,NA,NA
Hyena_914,4,5,4,NA,NA,NA,NA,NA
Hyena_915,4,5,4,NA,NA,NA,NA,NA
Hyena_916,4,1,6,NA,NA,NA,NA,NA
Hyena_917,4,1,6,NA,NA,NA,NA,NA
Hyena_918,3,9,10,NA,NA,NA,NA,NA
Hyena_919,4,9,8,4,NA,NA,NA,NA
Hyena_920,4,9,8,4,NA,NA,NA,NA
Hyena_921,4,9,8,4,NA,NA,NA,NA
Hyena_922,3,11,7,NA,NA,NA,NA,NA
Hyena_923,3,12,7,NA,NA,NA,NA,NA
Hyena_924,4,3,4,NA,NA,NA,NA,NA
Hyena_925,4,7,2,NA,NA,NA,NA,NA
Hyena_926,3,11,7,NA,NA,NA,NA,NA
Hyena_927,5,9,2,2,NA,NA,NA,NA
Hyena_928,5,9,2,2,NA,NA,NA,NA
Hyena_929,3,5,NA,NA,NA,NA,NA,NA
Hyena_930,3,5,NA,NA,NA,NA,NA,NA
Hyena_931,5,8,1,2,NA,NA,NA,NA
Hyena_932,5,8,1,2,NA,NA,NA,NA
Hyena_933,4,12,8,4,NA,NA,NA,NA
Hyena_934,4,12,8,4,NA,NA,NA,NA
Hyena_935,3,15,7,NA,NA,NA,NA,NA
Hyena_936,3,15,7,NA,NA,NA,NA,NA
Hyena_937,5,4,7,4,NA,NA,NA,NA
Hyena_938,5,4,7,4,NA,NA,NA,NA
Hyena_939,4,1,6,NA,NA,NA,NA,NA
Hyena_940,4,1,6,NA,NA,NA,NA,NA
Hyena_941,4,3,4,NA,NA,NA,NA,NA
Hyena_942,4,3,4,NA,NA,NA,NA,NA
Hyena_943,5,2,5,6,NA,NA,NA,NA
Hyena_944,5,2,5,6,NA,NA,NA,NA
Hyena_945,4,7,4,NA,NA,NA,NA,NA
Hyena_946,4,7,4,NA,NA,NA,NA,NA
Hyena_947,4,8,2,NA,NA,NA,NA,NA
Hyena_948,3,13,7,NA,NA,NA,NA,NA
Hyena_949,6,12,2,2,2,NA,NA,NA
Hyena_950,3,13,7,NA,NA,NA,NA,NA
Hyena_951,5,8,1,2,NA,NA,NA,NA
Hyena_952,5,8,1,2,NA,NA,NA,NA
Hyena_953,5,9,2,2,NA,NA,NA,NA
Hyena_954,5,9,2,2,NA,NA,NA,NA
Hyena_955,3,6,NA,NA,NA,NA,NA,NA
Hyena_956,5,2,5,6,NA,NA,NA,NA
Hyena_957,5,2,5,6,NA,NA,NA,NA
Hyena_958,4,7,4,NA,NA,NA,NA,NA
Hyena_959,5,5,5,4,NA,NA,NA,NA
Hyena_960,4,1,6,NA,NA,NA,NA,NA
Hyena_961,4,1,6,NA,NA,NA,NA,NA
Hyena_962,4,1,6,NA,NA,NA,NA,NA
Hyena_963,4,17,11,7,NA,NA,NA,NA
Hyena_964,4,17,11,7,NA,NA,NA,NA
Hyena_965,4,4,4,NA,NA,NA,NA,NA
Hyena_966,5,2,1,6,NA,NA,NA,NA
Hyena_967,5,9,7,4,NA,NA,NA,NA
Hyena_968,5,9,7,4,NA,NA,NA,NA
Hyena_969,4,21,11,7,NA,NA,NA,NA
Hyena_970,5,13,1,2,NA,NA,NA,NA
Hyena_971,5,3,5,6,NA,NA,NA,NA
Hyena_972,5,3,5,6,NA,NA,NA,NA
Hyena_973,4,10,5,NA,NA,NA,NA,NA
Hyena_974,4,1,6,NA,NA,NA,NA,NA
Hyena_975,4,11,4,NA,NA,NA,NA,NA
Hyena_976,6,16,2,2,2,NA,NA,NA
Hyena_977,6,16,2,2,2,NA,NA,NA
Hyena_978,6,2,2,5,6,NA,NA,NA
Hyena_979,5,7,5,4,NA,NA,NA,NA
Hyena_980,5,6,1,6,NA,NA,NA,NA
Hyena_981,5,6,1,6,NA,NA,NA,NA
Hyena_982,5,1,5,6,NA,NA,NA,NA
Hyena_983,5,1,5,6,NA,NA,NA,NA
Hyena_984,6,20,2,2,2,NA,NA,NA
Hyena_985,6,21,2,2,2,NA,NA,NA
Hyena_986,5,18,2,2,NA,NA,NA,NA
Hyena_987,6,19,9,2,2,NA,NA,NA
Hyena_988,6,3,2,5,6,NA,NA,NA
Hyena_989,6,3,2,5,6,NA,NA,NA
Hyena_990,5,16,8,2,NA,NA,NA,NA
Hyena_991,5,4,1,6,NA,NA,NA,NA
Hyena_992,4,15,4,NA,NA,NA,NA,NA
Hyena_993,4,8,4,NA,NA,NA,NA,NA
Hyena_994,4,8,4,NA,NA,NA,NA,NA
Hyena_995,5,11,5,4,NA,NA,NA,NA
Hyena_996,6,12,5,5,4,NA,NA,NA
Hyena_997,5,11,5,4,NA,NA,NA,NA
Hyena_998,4,1,6,NA,NA,NA,NA,NA
Hyena_999,4,1,6,NA,NA,NA,NA,NA
Hyena_1000,5,10,3,4,NA,NA,NA,NA
Hyena_1001,6,18,8,1,2,NA,NA,NA
Hyena_1002,5,2,1,6,NA,NA,NA,NA
Hyena_1003,6,20,2,2,2,NA,NA,NA
Hyena_1004,6,18,9,2,2,NA,NA,NA
Hyena_1005,6,18,9,2,2,NA,NA,NA
Hyena_1006,4,13,5,NA,NA,NA,NA,NA
Hyena_1007,5,3,1,6,NA,NA,NA,NA
Hyena_1008,5,3,1,6,NA,NA,NA,NA
Hyena_1009,6,20,2,2,2,NA,NA,NA
Hyena_1010,6,16,8,1,2,NA,NA,NA
Hyena_1011,4,14,4,NA,NA,NA,NA,NA
Hyena_1012,4,14,4,NA,NA,NA,NA,NA
Hyena_1013,5,5,1,6,NA,NA,NA,NA
Hyena_1014,5,4,1,6,NA,NA,NA,NA
Hyena_1015,4,1,6,NA,NA,NA,NA,NA
Hyena_1016,5,11,3,4,NA,NA,NA,NA
Hyena_1017,5,11,3,4,NA,NA,NA,NA
Hyena_1018,4,1,6,NA,NA,NA,NA,NA
Hyena_1019,6,8,2,5,6,NA,NA,NA
Hyena_1020,6,8,2,5,6,NA,NA,NA
Hyena_1021,6,7,3,5,6,NA,NA,NA
Hyena_1022,6,17,9,2,2,NA,NA,NA
Hyena_1023,5,9,4,4,NA,NA,NA,NA
Hyena_1024,5,2,1,6,NA,NA,NA,NA
Hyena_1025,5,12,5,4,NA,NA,NA,NA
Hyena_1026,5,12,5,4,NA,NA,NA,NA
Hyena_1027,5,25,21,11,7,NA,NA,NA
Hyena_1028,5,25,21,11,7,NA,NA,NA
Hyena_1029,6,18,8,1,2,NA,NA,NA
Hyena_1030,4,15,5,NA,NA,NA,NA,NA
Hyena_1031,4,15,5,NA,NA,NA,NA,NA
Hyena_1032,5,3,1,6,NA,NA,NA,NA
Hyena_1033,6,14,4,7,4,NA,NA,NA
Hyena_1034,4,19,4,NA,NA,NA,NA,NA
Hyena_1035,5,5,1,6,NA,NA,NA,NA
Hyena_1036,5,3,1,6,NA,NA,NA,NA
Hyena_1037,5,2,1,6,NA,NA,NA,NA
Hyena_1038,5,2,1,6,NA,NA,NA,NA
Hyena_1039,4,1,6,NA,NA,NA,NA,NA
Hyena_1040,5,7,1,6,NA,NA,NA,NA
Hyena_1041,5,7,1,6,NA,NA,NA,NA
Hyena_1042,6,20,9,2,2,NA,NA,NA
Hyena_1043,6,8,6,1,6,NA,NA,NA
Hyena_1044,6,8,6,1,6,NA,NA,NA
Hyena_1045,5,5,1,6,NA,NA,NA,NA
Hyena_1046,6,11,2,5,6,NA,NA,NA
Hyena_1047,6,20,8,1,2,NA,NA,NA
Hyena_1048,5,25,21,11,7,NA,NA,NA
Hyena_1049,5,25,21,11,7,NA,NA,NA
Hyena_1050,6,20,8,1,2,NA,NA,NA
Hyena_1051,6,20,8,1,2,NA,NA,NA
Hyena_1052,5,3,1,6,NA,NA,NA,NA
Hyena_1053,5,3,1,6,NA,NA,NA,NA
Hyena_1054,5,13,4,4,NA,NA,NA,NA
Hyena_1055,4,16,5,NA,NA,NA,NA,NA
Hyena_1056,6,14,4,7,4,NA,NA,NA
Hyena_1057,6,14,4,7,4,NA,NA,NA
Hyena_1058,4,18,4,NA,NA,NA,NA,NA
Hyena_1059,4,1,6,NA,NA,NA,NA,NA
Hyena_1060,6,8,1,5,6,NA,NA,NA
Hyena_1061,6,8,1,5,6,NA,NA,NA
Hyena_1062,5,4,1,6,NA,NA,NA,NA
Hyena_1063,5,2,1,6,NA,NA,NA,NA
