ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4,rank_G5,rank_G6
Hyena_126,3,11,5,NA,NA,NA,NA,NA
Hyena_127,4,3,2,5,NA,NA,NA,NA
Hyena_128,4,3,2,5,NA,NA,NA,NA
Hyena_129,4,14,6,NA,NA,NA,NA,NA
Hyena_130,3,10,8,NA,NA,NA,NA,NA
Hyena_131,3,10,8,NA,NA,NA,NA,NA
Hyena_132,2,9,NA,NA,NA,NA,NA,NA
Hyena_133,4,2,2,5,NA,NA,NA,NA
Hyena_134,4,2,2,5,NA,NA,NA,NA
Hyena_135,2,12,NA,NA,NA,NA,NA,NA
Hyena_136,2,12,NA,NA,NA,NA,NA,NA
Hyena_137,4,16,10,2,NA,NA,NA,NA
Hyena_138,3,20,10,NA,NA,NA,NA,NA
Hyena_139,3,1,5,NA,NA,NA,NA,NA
Hyena_140,2,3,NA,NA,NA,NA,NA,NA
Hyena_141,2,3,NA,NA,NA,NA,NA,NA
Hyena_142,2,20,NA,NA,NA,NA,NA,NA
Hyena_143,3,24,13,NA,NA,NA,NA,NA
Hyena_144,3,24,13,NA,NA,NA,NA,NA
Hyena_145,3,5,1,NA,NA,NA,NA,NA
Hyena_146,2,5,NA,NA,NA,NA,NA,NA
Hyena_147,2,5,NA,NA,NA,NA,NA,NA
Hyena_148,3,14,2,NA,NA,NA,NA,NA
Hyena_149,3,14,2,NA,NA,NA,NA,NA
Hyena_150,3,16,13,NA,NA,NA,NA,NA
Hyena_151,3,22,11,NA,NA,NA,NA,NA
Hyena_152,2,11,NA,NA,NA,NA,NA,NA
Hyena_153,2,14,NA,NA,NA,NA,NA,NA
Hyena_154,3,20,17,NA,NA,NA,NA,NA
Hyena_155,3,20,17,NA,NA,NA,NA,NA
Hyena_156,2,17,NA,NA,NA,NA,NA,NA
Hyena_157,3,24,5,NA,NA,NA,NA,NA
Hyena_158,4,10,7,8,NA,NA,NA,NA
Hyena_159,4,4,2,5,NA,NA,NA,NA
Hyena_160,4,4,2,5,NA,NA,NA,NA
Hyena_161,4,13,6,NA,NA,NA,NA,NA
Hyena_162,4,13,6,NA,NA,NA,NA,NA
Hyena_163,3,21,17,NA,NA,NA,NA,NA
Hyena_164,3,23,13,NA,NA,NA,NA,NA
Hyena_165,3,23,13,NA,NA,NA,NA,NA
Hyena_166,4,11,7,8,NA,NA,NA,NA
Hyena_167,3,3,1,NA,NA,NA,NA,NA
Hyena_168,2,1,NA,NA,NA,NA,NA,NA
Hyena_169,3,22,11,NA,NA,NA,NA,NA
Hyena_170,2,9,NA,NA,NA,NA,NA,NA
Hyena_171,3,16,13,NA,NA,NA,NA,NA
Hyena_172,3,16,13,NA,NA,NA,NA,NA
Hyena_173,3,17,10,NA,NA,NA,NA,NA
Hyena_174,3,9,8,NA,NA,NA,NA,NA
Hyena_175,3,2,1,NA,NA,NA,NA,NA
Hyena_176,4,11,7,8,NA,NA,NA,NA
Hyena_177,3,8,5,NA,NA,NA,NA,NA
Hyena_178,3,19,17,NA,NA,NA,NA,NA
Hyena_179,3,18,17,NA,NA,NA,NA,NA
Hyena_180,3,18,17,NA,NA,NA,NA,NA
Hyena_181,3,3,3,NA,NA,NA,NA,NA
Hyena_182,3,3,3,NA,NA,NA,NA,NA
Hyena_183,3,2,3,NA,NA,NA,NA,NA
Hyena_184,3,2,3,NA,NA,NA,NA,NA
Hyena_185,4,10,6,NA,NA,NA,NA,NA
Hyena_186,4,10,6,NA,NA,NA,NA,NA
Hyena_187,3,4,1,NA,NA,NA,NA,NA
Hyena_188,3,4,1,NA,NA,NA,NA,NA
Hyena_189,3,20,5,NA,NA,NA,NA,NA
Hyena_190,3,7,8,NA,NA,NA,NA,NA
Hyena_191,3,19,13,NA,NA,NA,NA,NA
Hyena_192,3,19,13,NA,NA,NA,NA,NA
Hyena_193,3,7,8,NA,NA,NA,NA,NA
Hyena_194,3,7,8,NA,NA,NA,NA,NA
Hyena_195,4,8,7,8,NA,NA,NA,NA
Hyena_196,3,17,10,NA,NA,NA,NA,NA
Hyena_197,3,17,10,NA,NA,NA,NA,NA
Hyena_198,4,18,20,10,NA,NA,NA,NA
Hyena_199,4,18,20,10,NA,NA,NA,NA
Hyena_200,3,18,17,NA,NA,NA,NA,NA
Hyena_201,3,19,17,NA,NA,NA,NA,NA
Hyena_202,3,8,5,NA,NA,NA,NA,NA
Hyena_203,3,8,5,NA,NA,NA,NA,NA
Hyena_204,4,15,16,13,NA,NA,NA,NA
Hyena_205,3,2,3,NA,NA,NA,NA,NA
Hyena_206,3,2,3,NA,NA,NA,NA,NA
Hyena_207,3,5,1,NA,NA,NA,NA,NA
Hyena_208,3,23,5,NA,NA,NA,NA,NA
Hyena_209,3,23,5,NA,NA,NA,NA,NA
Hyena_210,3,3,3,NA,NA,NA,NA,NA
Hyena_211,3,3,3,NA,NA,NA,NA,NA
Hyena_212,4,9,6,NA,NA,NA,NA,NA
Hyena_213,4,9,6,NA,NA,NA,NA,NA
Hyena_214,2,15,NA,NA,NA,NA,NA,NA
Hyena_215,4,4,2,1,NA,NA,NA,NA
Hyena_216,4,4,2,1,NA,NA,NA,NA
Hyena_217,4,11,7,8,NA,NA,NA,NA
Hyena_218,4,11,7,8,NA,NA,NA,NA
Hyena_219,3,14,11,NA,NA,NA,NA,NA
Hyena_220,3,14,11,NA,NA,NA,NA,NA
Hyena_221,3,8,7,NA,NA,NA,NA,NA
Hyena_222,3,22,17,NA,NA,NA,NA,NA
Hyena_223,3,22,17,NA,NA,NA,NA,NA
Hyena_224,3,12,8,NA,NA,NA,NA,NA
Hyena_225,4,20,20,10,NA,NA,NA,NA
Hyena_226,4,20,20,10,NA,NA,NA,NA
Hyena_227,4,5,2,1,NA,NA,NA,NA
Hyena_228,4,5,2,1,NA,NA,NA,NA
Hyena_229,3,24,17,NA,NA,NA,NA,NA
Hyena_230,3,24,17,NA,NA,NA,NA,NA
Hyena_231,3,10,5,NA,NA,NA,NA,NA
Hyena_232,3,10,5,NA,NA,NA,NA,NA
Hyena_233,4,3,2,3,NA,NA,NA,NA
Hyena_234,3,2,3,NA,NA,NA,NA,NA
Hyena_235,3,2,3,NA,NA,NA,NA,NA
Hyena_236,4,21,16,13,NA,NA,NA,NA
Hyena_237,3,18,10,NA,NA,NA,NA,NA
Hyena_238,4,21,16,13,NA,NA,NA,NA
Hyena_239,3,18,10,NA,NA,NA,NA,NA
Hyena_240,2,18,NA,NA,NA,NA,NA,NA
Hyena_241,4,8,3,1,NA,NA,NA,NA
Hyena_242,5,14,11,7,8,NA,NA,NA
Hyena_243,3,6,1,NA,NA,NA,NA,NA
Hyena_244,3,30,5,NA,NA,NA,NA,NA
Hyena_245,3,30,5,NA,NA,NA,NA,NA
Hyena_246,4,10,6,NA,NA,NA,NA,NA
Hyena_247,3,4,3,NA,NA,NA,NA,NA
Hyena_248,3,4,3,NA,NA,NA,NA,NA
Hyena_249,4,14,7,8,NA,NA,NA,NA
Hyena_250,4,14,7,8,NA,NA,NA,NA
Hyena_251,3,2,3,NA,NA,NA,NA,NA
Hyena_252,3,2,3,NA,NA,NA,NA,NA
Hyena_253,4,3,2,3,NA,NA,NA,NA
Hyena_254,3,20,11,NA,NA,NA,NA,NA
Hyena_255,3,20,11,NA,NA,NA,NA,NA
Hyena_256,3,23,10,NA,NA,NA,NA,NA
Hyena_257,3,28,17,NA,NA,NA,NA,NA
Hyena_258,3,28,17,NA,NA,NA,NA,NA
Hyena_259,4,4,2,3,NA,NA,NA,NA
Hyena_260,3,29,17,NA,NA,NA,NA,NA
Hyena_261,4,24,20,10,NA,NA,NA,NA
Hyena_262,4,28,18,17,NA,NA,NA,NA
Hyena_263,4,28,18,17,NA,NA,NA,NA
Hyena_264,4,23,17,10,NA,NA,NA,NA
Hyena_265,4,23,17,10,NA,NA,NA,NA
Hyena_266,3,10,5,NA,NA,NA,NA,NA
Hyena_267,3,22,10,NA,NA,NA,NA,NA
Hyena_268,3,9,7,NA,NA,NA,NA,NA
Hyena_269,3,15,8,NA,NA,NA,NA,NA
Hyena_270,3,1,3,NA,NA,NA,NA,NA
Hyena_271,3,1,3,NA,NA,NA,NA,NA
Hyena_272,3,5,3,NA,NA,NA,NA,NA
Hyena_273,3,5,3,NA,NA,NA,NA,NA
Hyena_274,3,5,3,NA,NA,NA,NA,NA
Hyena_275,5,22,11,7,8,NA,NA,NA
Hyena_276,5,22,11,7,8,NA,NA,NA
Hyena_277,4,25,17,10,NA,NA,NA,NA
Hyena_278,4,2,2,3,NA,NA,NA,NA
Hyena_279,4,2,2,3,NA,NA,NA,NA
Hyena_280,4,20,7,8,NA,NA,NA,NA
Hyena_281,4,16,6,NA,NA,NA,NA,NA
Hyena_282,4,16,6,NA,NA,NA,NA,NA
Hyena_283,4,20,7,8,NA,NA,NA,NA
Hyena_284,4,20,7,8,NA,NA,NA,NA
Hyena_285,4,9,3,3,NA,NA,NA,NA
Hyena_286,4,10,2,1,NA,NA,NA,NA
Hyena_287,4,10,2,1,NA,NA,NA,NA
Hyena_288,4,12,3,1,NA,NA,NA,NA
Hyena_289,4,12,3,1,NA,NA,NA,NA
Hyena_290,4,2,2,3,NA,NA,NA,NA
Hyena_291,4,29,19,17,NA,NA,NA,NA
Hyena_292,4,29,19,17,NA,NA,NA,NA
Hyena_293,3,14,5,NA,NA,NA,NA,NA
Hyena_294,3,14,5,NA,NA,NA,NA,NA
Hyena_295,4,6,2,1,NA,NA,NA,NA
Hyena_296,4,27,19,17,NA,NA,NA,NA
Hyena_297,3,1,3,NA,NA,NA,NA,NA
Hyena_298,5,25,18,20,10,NA,NA,NA
Hyena_299,4,4,2,3,NA,NA,NA,NA
Hyena_300,3,1,3,NA,NA,NA,NA,NA
Hyena_301,5,17,9,6,NA,NA,NA,NA
Hyena_302,5,17,9,6,NA,NA,NA,NA
Hyena_303,3,7,3,NA,NA,NA,NA,NA
Hyena_304,5,12,5,2,1,NA,NA,NA
Hyena_305,5,17,9,6,NA,NA,NA,NA
Hyena_306,4,28,24,17,NA,NA,NA,NA
Hyena_307,4,32,19,13,NA,NA,NA,NA
Hyena_308,4,32,19,13,NA,NA,NA,NA
Hyena_309,4,15,10,5,NA,NA,NA,NA
Hyena_310,4,15,10,5,NA,NA,NA,NA
Hyena_311,4,31,14,11,NA,NA,NA,NA
Hyena_312,4,36,23,5,NA,NA,NA,NA
Hyena_313,5,6,3,2,3,NA,NA,NA
Hyena_314,5,6,3,2,3,NA,NA,NA
Hyena_315,4,26,17,10,NA,NA,NA,NA
Hyena_316,3,7,3,NA,NA,NA,NA,NA
