ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_978,5,2,8,8,5,NA
Hyena_979,3,7,9,NA,NA,NA
Hyena_980,5,6,6,4,1,NA
Hyena_981,4,6,5,3,NA,NA
Hyena_982,5,1,8,8,5,NA
Hyena_984,3,20,9,NA,NA,NA
Hyena_986,4,18,5,3,NA,NA
Hyena_987,4,19,5,3,NA,NA
Hyena_988,5,3,6,4,1,NA
Hyena_989,5,3,6,4,1,NA
Hyena_991,5,4,8,8,5,NA
Hyena_992,4,15,5,6,NA,NA
Hyena_993,3,8,12,NA,NA,NA
Hyena_994,3,8,12,NA,NA,NA
Hyena_995,3,11,9,NA,NA,NA
Hyena_996,5,12,6,4,1,NA
Hyena_997,3,11,9,NA,NA,NA
Hyena_998,2,1,NA,NA,NA,NA
Hyena_999,2,1,NA,NA,NA,NA
Hyena_1000,5,10,6,4,1,NA
Hyena_1001,5,18,6,4,1,NA
Hyena_1002,4,2,4,5,13,NA
Hyena_1006,5,13,8,8,5,NA
Hyena_1007,5,3,8,8,5,NA
Hyena_1008,5,3,8,8,5,NA
Hyena_1010,5,16,6,4,1,NA
Hyena_1012,5,14,8,8,5,NA
Hyena_1013,4,5,4,5,13,NA
Hyena_1014,4,4,5,3,NA,NA
Hyena_1015,4,1,4,5,13,NA
Hyena_1017,3,11,9,NA,NA,NA
Hyena_1018,4,1,4,5,13,NA
Hyena_1019,5,8,8,8,5,NA
Hyena_1020,5,8,8,8,5,NA
Hyena_1021,4,7,9,12,NA,NA
Hyena_1022,4,17,5,3,NA,NA
Hyena_1023,5,9,8,8,5,NA
Hyena_1024,4,2,1,5,NA,NA
Hyena_1025,3,12,9,NA,NA,NA
Hyena_1027,4,25,1,8,NA,NA
Hyena_1029,5,18,3,1,5,NA
Hyena_1030,5,15,3,1,5,NA
Hyena_1032,5,3,6,4,1,NA
Hyena_1033,5,14,8,8,5,NA
Hyena_1034,5,19,8,8,5,NA
Hyena_1035,5,5,3,1,5,NA
Hyena_1037,5,2,23,1,5,NA
Hyena_1038,5,2,23,1,5,NA
Hyena_1039,2,1,16,NA,NA,NA
Hyena_1040,4,7,1,8,NA,NA
Hyena_1041,4,7,1,8,NA,NA
Hyena_1042,4,20,1,8,NA,NA
Hyena_1043,4,8,1,8,NA,NA
Hyena_1045,6,5,10,6,4,1
Hyena_1046,2,11,NA,NA,NA,NA
Hyena_1047,4,20,1,8,NA,NA
Hyena_1048,4,25,1,8,NA,NA
Hyena_1050,4,20,4,5,13,NA
Hyena_1051,4,20,4,5,13,NA
Hyena_1052,4,3,1,5,NA,NA
Hyena_1054,4,13,1,8,NA,NA
Hyena_1056,5,14,15,4,4,NA
Hyena_1057,5,14,15,4,4,NA
Hyena_1058,4,18,5,3,NA,NA
Hyena_1059,6,1,10,6,4,1
Hyena_1061,2,8,NA,NA,NA,NA
Hyena_1062,6,4,10,6,4,1
Hyena_1063,2,2,16,NA,NA,NA
Hyena_1064,2,2,16,NA,NA,NA
Hyena_1068,4,6,4,5,13,NA
Hyena_1069,4,11,15,5,NA,NA
Hyena_1071,4,17,15,5,NA,NA
Hyena_1073,5,6,15,4,4,NA
Hyena_1080,5,9,15,4,4,NA
Hyena_1082,4,6,15,5,NA,NA
Hyena_1120,2,4,NA,NA,NA,NA
Hyena_1121,2,5,NA,NA,NA,NA
Hyena_1122,2,11,NA,NA,NA,NA
Hyena_1124,2,3,NA,NA,NA,NA
Hyena_1125,2,3,NA,NA,NA,NA
Hyena_1126,2,1,NA,NA,NA,NA
Hyena_1127,2,11,NA,NA,NA,NA
Hyena_1128,2,2,NA,NA,NA,NA
Hyena_1131,2,7,NA,NA,NA,NA
Hyena_1132,2,9,NA,NA,NA,NA
Hyena_1133,2,4,NA,NA,NA,NA
Hyena_1134,2,3,NA,NA,NA,NA
Hyena_1135,2,3,NA,NA,NA,NA
Hyena_1137,2,8,NA,NA,NA,NA
Hyena_1138,2,8,NA,NA,NA,NA
Hyena_1139,2,1,NA,NA,NA,NA
Hyena_1140,2,1,NA,NA,NA,NA
Hyena_1143,2,3,NA,NA,NA,NA
Hyena_1144,2,3,NA,NA,NA,NA
Hyena_1145,2,13,NA,NA,NA,NA
Hyena_1146,2,6,NA,NA,NA,NA
Hyena_1147,2,6,NA,NA,NA,NA
Hyena_1149,2,1,NA,NA,NA,NA
Hyena_1150,2,12,NA,NA,NA,NA
Hyena_1152,2,7,NA,NA,NA,NA
Hyena_1153,2,1,NA,NA,NA,NA
Hyena_1154,2,2,NA,NA,NA,NA
Hyena_1155,2,2,NA,NA,NA,NA
Hyena_1156,2,9,NA,NA,NA,NA
Hyena_1158,2,11,NA,NA,NA,NA
Hyena_1159,2,7,NA,NA,NA,NA
Hyena_1160,2,7,NA,NA,NA,NA
Hyena_1161,2,5,NA,NA,NA,NA
Hyena_1162,2,5,NA,NA,NA,NA
Hyena_1163,2,11,NA,NA,NA,NA
Hyena_1164,2,11,NA,NA,NA,NA
Hyena_1165,2,7,NA,NA,NA,NA
Hyena_1166,2,1,NA,NA,NA,NA
Hyena_1167,2,2,NA,NA,NA,NA
Hyena_1168,2,2,NA,NA,NA,NA
Hyena_1169,2,17,NA,NA,NA,NA
Hyena_1170,2,17,NA,NA,NA,NA
Hyena_1171,2,13,NA,NA,NA,NA
Hyena_1172,2,4,NA,NA,NA,NA
Hyena_1173,3,7,NA,NA,NA,NA
Hyena_1174,2,1,NA,NA,NA,NA
Hyena_1175,2,1,NA,NA,NA,NA
Hyena_1176,2,3,NA,NA,NA,NA
Hyena_1177,2,3,NA,NA,NA,NA
Hyena_1178,2,5,NA,NA,NA,NA
Hyena_1179,2,5,NA,NA,NA,NA
Hyena_1182,2,10,1,NA,NA,NA
Hyena_1183,2,3,NA,NA,NA,NA
Hyena_1184,2,3,NA,NA,NA,NA
Hyena_1185,2,8,NA,NA,NA,NA
Hyena_1186,3,8,NA,NA,NA,NA
Hyena_1187,2,4,NA,NA,NA,NA
Hyena_1188,2,4,NA,NA,NA,NA
Hyena_1189,2,14,NA,NA,NA,NA
Hyena_1190,2,14,NA,NA,NA,NA
Hyena_1191,2,13,NA,NA,NA,NA
Hyena_1192,2,13,NA,NA,NA,NA
Hyena_1193,3,21,NA,NA,NA,NA
Hyena_1194,3,21,NA,NA,NA,NA
Hyena_1195,2,19,NA,NA,NA,NA
Hyena_1196,2,19,NA,NA,NA,NA
Hyena_1197,2,2,NA,NA,NA,NA
Hyena_1198,2,2,NA,NA,NA,NA
Hyena_1199,2,10,NA,NA,NA,NA
Hyena_1200,2,10,NA,NA,NA,NA
Hyena_1201,2,1,1,NA,NA,NA
Hyena_1202,2,8,NA,NA,NA,NA
Hyena_1204,2,8,NA,NA,NA,NA
Hyena_1205,2,8,NA,NA,NA,NA
Hyena_1206,3,23,NA,NA,NA,NA
Hyena_1207,3,23,NA,NA,NA,NA
Hyena_1208,2,19,1,NA,NA,NA
Hyena_1209,2,2,NA,NA,NA,NA
Hyena_1210,2,2,NA,NA,NA,NA
Hyena_1211,3,21,11,NA,NA,NA
Hyena_1212,3,21,NA,NA,NA,NA
Hyena_1213,2,12,NA,NA,NA,NA
Hyena_1214,2,6,1,NA,NA,NA
Hyena_1217,3,4,NA,NA,NA,NA
Hyena_1219,3,6,NA,NA,NA,NA
Hyena_1221,2,19,NA,NA,NA,NA
Hyena_1222,2,19,NA,NA,NA,NA
Hyena_1223,2,13,NA,NA,NA,NA
Hyena_1225,2,1,NA,NA,NA,NA
Hyena_1226,2,21,NA,NA,NA,NA
Hyena_1227,2,26,6,NA,NA,NA
Hyena_1228,2,15,1,NA,NA,NA
Hyena_1230,3,2,3,NA,NA,NA
Hyena_1232,2,13,1,NA,NA,NA
Hyena_1233,2,18,NA,NA,NA,NA
Hyena_1238,2,20,NA,NA,NA,NA
Hyena_1239,2,1,NA,NA,NA,NA
Hyena_1240,2,1,NA,NA,NA,NA
Hyena_1241,2,5,NA,NA,NA,NA
Hyena_1242,2,5,NA,NA,NA,NA
Hyena_1248,3,6,3,NA,NA,NA
Hyena_1254,3,8,3,NA,NA,NA
Hyena_1255,3,15,1,NA,NA,NA
Hyena_1257,3,2,1,NA,NA,NA
Hyena_1258,3,2,1,NA,NA,NA
Hyena_1260,3,13,7,13,NA,NA
Hyena_1261,3,21,3,NA,NA,NA
Hyena_1263,3,12,11,NA,NA,NA
Hyena_1264,3,12,11,NA,NA,NA
Hyena_1266,3,5,7,13,NA,NA
Hyena_1267,3,11,3,NA,NA,NA
Hyena_1276,3,10,11,NA,NA,NA
Hyena_1279,3,24,3,NA,NA,NA
Hyena_1281,3,28,11,NA,NA,NA
Hyena_1282,3,2,3,NA,NA,NA
Hyena_1286,3,5,3,NA,NA,NA
Hyena_1288,3,23,7,13,NA,NA
Hyena_1291,2,15,NA,NA,NA,NA
Hyena_1292,2,20,NA,NA,NA,NA
Hyena_1293,3,20,7,NA,NA,NA
Hyena_1294,3,9,7,NA,NA,NA
Hyena_1295,3,9,7,NA,NA,NA
Hyena_1297,3,5,7,NA,NA,NA
Hyena_1298,3,5,7,NA,NA,NA
Hyena_1300,3,26,14,NA,NA,NA
Hyena_1301,3,11,7,13,NA,NA
Hyena_1302,3,4,7,13,NA,NA
Hyena_1303,3,4,7,13,NA,NA
Hyena_1307,3,13,7,NA,NA,NA
Hyena_1309,3,7,7,13,NA,NA
Hyena_1310,3,7,7,13,NA,NA
Hyena_1311,3,5,3,NA,NA,NA
Hyena_1313,3,9,7,NA,NA,NA
Hyena_1314,3,11,14,NA,NA,NA
Hyena_1315,3,21,14,NA,NA,NA
Hyena_1316,3,21,14,NA,NA,NA
Hyena_1317,3,8,3,NA,NA,NA
Hyena_1318,3,20,14,NA,NA,NA
Hyena_1321,3,18,7,NA,NA,NA
Hyena_1324,3,6,3,NA,NA,NA
Hyena_1325,3,23,3,NA,NA,NA
Hyena_1326,3,29,3,NA,NA,NA
Hyena_1327,3,29,3,NA,NA,NA
Hyena_1328,4,4,6,NA,NA,NA
Hyena_1329,4,4,6,NA,NA,NA
Hyena_1331,3,27,7,13,NA,NA
Hyena_1332,3,16,3,NA,NA,NA
Hyena_1333,3,29,3,NA,NA,NA
Hyena_1334,4,2,6,NA,NA,NA
Hyena_1335,4,2,6,NA,NA,NA
Hyena_1336,3,1,7,NA,NA,NA
Hyena_1337,3,21,8,NA,NA,NA
Hyena_1339,3,20,14,NA,NA,NA
Hyena_1341,3,27,7,NA,NA,NA
Hyena_1342,3,29,7,NA,NA,NA
Hyena_1343,4,11,6,NA,NA,NA
Hyena_1344,4,11,6,NA,NA,NA
Hyena_1345,3,5,3,NA,NA,NA
Hyena_1348,4,9,6,NA,NA,NA
Hyena_1349,3,17,3,NA,NA,NA
Hyena_1350,3,17,3,NA,NA,NA
Hyena_1351,3,8,14,NA,NA,NA
Hyena_1352,3,13,3,NA,NA,NA
Hyena_1354,2,7,NA,NA,NA,NA
Hyena_1355,3,4,3,NA,NA,NA
Hyena_1356,3,1,7,13,NA,NA
Hyena_1357,3,1,7,13,NA,NA
Hyena_1364,3,23,7,NA,NA,NA
Hyena_1365,3,2,15,1,NA,NA
Hyena_1366,3,2,15,1,NA,NA
Hyena_1367,4,16,12,11,NA,NA
Hyena_1368,3,16,11,NA,NA,NA
Hyena_1371,3,1,3,NA,NA,NA
Hyena_1372,3,1,3,NA,NA,NA
Hyena_1373,3,13,14,NA,NA,NA
Hyena_1374,3,6,14,NA,NA,NA
Hyena_1375,3,6,14,NA,NA,NA
Hyena_1376,3,10,14,NA,NA,NA
Hyena_1377,3,36,5,NA,NA,NA
Hyena_1378,3,15,8,NA,NA,NA
Hyena_1381,2,20,NA,NA,NA,NA
Hyena_1382,3,25,14,NA,NA,NA
Hyena_1383,3,25,14,NA,NA,NA
Hyena_1384,4,5,24,3,NA,NA
Hyena_1385,4,5,24,3,NA,NA
Hyena_1386,3,23,3,NA,NA,NA
Hyena_1387,3,22,3,NA,NA,NA
Hyena_1388,3,8,8,NA,NA,NA
Hyena_1390,3,9,19,1,NA,NA
Hyena_1391,3,9,3,NA,NA,NA
Hyena_1392,3,18,3,NA,NA,NA
Hyena_1393,3,35,14,NA,NA,NA
Hyena_1395,4,24,1,5,NA,NA
Hyena_1396,4,24,1,5,NA,NA
Hyena_1397,3,34,14,NA,NA,NA
Hyena_1400,3,20,5,NA,NA,NA
Hyena_1401,3,20,5,NA,NA,NA
Hyena_1405,3,34,3,NA,NA,NA
Hyena_1407,4,3,1,5,NA,NA
Hyena_1408,3,2,14,NA,NA,NA
Hyena_1409,3,2,3,NA,NA,NA
Hyena_1412,3,1,7,NA,NA,NA
Hyena_1413,3,1,7,NA,NA,NA
Hyena_1415,3,10,7,NA,NA,NA
Hyena_1416,3,10,7,NA,NA,NA
Hyena_1417,5,20,4,6,NA,NA
Hyena_1418,3,13,5,NA,NA,NA
Hyena_1419,3,28,5,13,NA,NA
Hyena_1420,3,28,5,13,NA,NA
Hyena_1421,3,30,3,NA,NA,NA
Hyena_1422,4,7,9,7,NA,NA
Hyena_1423,4,7,9,7,NA,NA
Hyena_1425,3,26,5,NA,NA,NA
Hyena_1427,3,19,3,NA,NA,NA
Hyena_1430,3,1,7,NA,NA,NA
Hyena_1431,3,1,7,NA,NA,NA
Hyena_1432,3,6,3,NA,NA,NA
Hyena_1433,3,19,5,NA,NA,NA
Hyena_1434,3,17,7,NA,NA,NA
Hyena_1435,4,3,24,3,NA,NA
Hyena_1436,4,3,24,3,NA,NA
Hyena_1437,3,14,3,NA,NA,NA
Hyena_1438,4,4,9,7,NA,NA
Hyena_1439,3,29,14,NA,NA,NA
Hyena_1441,4,13,2,7,NA,NA
Hyena_1442,3,13,3,NA,NA,NA
Hyena_1443,3,7,3,NA,NA,NA
Hyena_1444,4,15,2,4,NA,NA
Hyena_1445,4,15,2,4,NA,NA
Hyena_1446,3,31,3,NA,NA,NA
Hyena_1447,3,31,3,NA,NA,NA
Hyena_1448,3,28,3,NA,NA,NA
Hyena_1449,3,1,7,13,NA,NA
Hyena_1450,3,1,3,NA,NA,NA
Hyena_1452,4,3,9,7,NA,NA
Hyena_1453,3,2,3,NA,NA,NA
Hyena_1455,4,2,2,7,NA,NA
Hyena_1458,3,20,3,NA,NA,NA
Hyena_1459,3,27,14,NA,NA,NA
Hyena_1461,4,4,9,7,NA,NA
Hyena_1462,4,4,9,7,NA,NA
Hyena_1464,3,1,3,NA,NA,NA
Hyena_1465,3,1,3,NA,NA,NA
Hyena_1466,3,4,14,NA,NA,NA
Hyena_1467,3,4,14,NA,NA,NA
Hyena_1472,4,17,4,2,NA,NA
Hyena_1473,4,17,4,2,NA,NA
Hyena_1475,4,28,1,7,13,NA
Hyena_1477,3,10,14,NA,NA,NA
Hyena_1478,4,3,24,3,NA,NA
Hyena_1479,3,21,14,NA,NA,NA
Hyena_1480,3,8,14,NA,NA,NA
Hyena_1482,4,24,2,7,NA,NA
Hyena_1484,4,18,2,4,NA,NA
Hyena_1486,3,3,5,NA,NA,NA
Hyena_1487,4,7,2,7,NA,NA
Hyena_1489,4,19,2,4,NA,NA
Hyena_1493,4,17,2,7,NA,NA
Hyena_1495,4,7,2,7,NA,NA
Hyena_1496,4,24,9,7,NA,NA
Hyena_1497,4,1,2,7,NA,NA
Hyena_1498,4,1,2,7,NA,NA
Hyena_1499,3,2,14,NA,NA,NA
Hyena_1500,4,6,2,7,NA,NA
Hyena_1501,4,9,2,4,NA,NA
Hyena_1502,3,13,3,NA,NA,NA
Hyena_1504,4,17,2,4,NA,NA
Hyena_1505,3,3,14,NA,NA,NA
Hyena_1506,3,3,14,NA,NA,NA
Hyena_1509,4,1,2,7,NA,NA
Hyena_1510,4,1,2,7,NA,NA
Hyena_1511,3,2,14,NA,NA,NA
Hyena_1513,4,5,2,7,NA,NA
Hyena_1514,4,6,2,7,NA,NA
Hyena_1515,4,9,4,2,NA,NA
Hyena_1516,4,21,2,7,NA,NA
Hyena_1518,4,16,3,13,1,NA
Hyena_1520,4,1,9,7,NA,NA
Hyena_1522,4,13,3,13,1,NA
Hyena_1523,4,13,3,13,1,NA
Hyena_1524,4,13,2,7,NA,NA
Hyena_1525,4,7,2,4,NA,NA
Hyena_1526,4,4,4,2,NA,NA
Hyena_1527,3,12,3,NA,NA,NA
Hyena_1531,4,1,3,13,1,NA
Hyena_1534,4,13,3,13,1,NA
Hyena_1538,4,2,10,14,NA,NA
Hyena_1539,4,11,1,16,NA,NA
Hyena_1541,4,10,1,16,NA,NA
Hyena_1542,4,12,2,4,NA,NA
Hyena_1543,4,11,1,16,NA,NA
Hyena_1544,4,11,1,16,NA,NA
Hyena_1545,4,1,10,14,NA,NA
Hyena_1546,4,1,10,14,NA,NA
Hyena_1547,4,5,4,2,NA,NA
Hyena_1548,4,5,4,2,NA,NA
Hyena_1549,4,14,1,16,NA,NA
Hyena_1550,4,4,1,16,NA,NA
Hyena_1551,4,4,1,16,NA,NA
Hyena_1552,4,6,2,4,NA,NA
Hyena_1556,4,3,1,16,NA,NA
Hyena_1557,4,3,1,16,NA,NA
Hyena_1566,4,13,1,16,NA,NA
Hyena_1567,4,9,1,16,NA,NA
Hyena_1572,2,13,NA,NA,NA,NA
Hyena_1573,4,2,10,9,NA,NA
Hyena_1574,4,9,10,9,NA,NA
Hyena_1575,4,9,10,9,NA,NA
Hyena_1576,5,4,1,2,4,NA
Hyena_1577,4,2,10,9,NA,NA
Hyena_1578,4,1,9,5,NA,NA
Hyena_1580,4,6,3,13,1,NA
Hyena_1583,4,3,3,22,NA,NA
Hyena_1584,4,2,3,22,NA,NA
Hyena_1585,4,2,3,22,NA,NA
Hyena_1586,4,15,1,16,NA,NA
Hyena_1589,5,3,17,13,3,NA
Hyena_1592,4,2,9,5,NA,NA
Hyena_1596,4,5,10,14,NA,NA
Hyena_1600,5,8,1,2,4,NA
Hyena_1634,2,10,NA,NA,NA,NA
Hyena_1635,2,1,NA,NA,NA,NA
Hyena_1637,2,5,NA,NA,NA,NA
Hyena_1644,2,6,NA,NA,NA,NA
Hyena_1651,2,2,NA,NA,NA,NA
Hyena_1652,2,2,NA,NA,NA,NA
Hyena_1654,2,4,NA,NA,NA,NA
Hyena_1655,2,4,NA,NA,NA,NA
Hyena_1656,2,11,NA,NA,NA,NA
Hyena_1657,2,11,NA,NA,NA,NA
Hyena_1660,2,8,NA,NA,NA,NA
Hyena_1663,2,9,NA,NA,NA,NA
Hyena_1664,2,9,NA,NA,NA,NA
Hyena_1666,2,10,NA,NA,NA,NA
Hyena_1667,2,10,NA,NA,NA,NA
Hyena_1668,2,13,NA,NA,NA,NA
Hyena_1670,2,6,NA,NA,NA,NA
Hyena_1671,2,5,NA,NA,NA,NA
Hyena_1672,2,5,NA,NA,NA,NA
Hyena_1673,2,8,NA,NA,NA,NA
Hyena_1674,2,8,NA,NA,NA,NA
Hyena_1675,2,3,NA,NA,NA,NA
Hyena_1676,2,3,NA,NA,NA,NA
Hyena_1678,2,12,NA,NA,NA,NA
Hyena_1679,2,12,NA,NA,NA,NA
Hyena_1681,2,2,NA,NA,NA,NA
Hyena_1682,2,2,NA,NA,NA,NA
Hyena_1685,2,1,NA,NA,NA,NA
Hyena_1686,2,1,NA,NA,NA,NA
Hyena_1689,2,13,NA,NA,NA,NA
Hyena_1691,2,7,13,NA,NA,NA
Hyena_1692,2,7,13,NA,NA,NA
Hyena_1693,2,2,NA,NA,NA,NA
Hyena_1694,2,2,NA,NA,NA,NA
Hyena_1695,2,9,NA,NA,NA,NA
Hyena_1696,2,9,NA,NA,NA,NA
Hyena_1697,2,4,NA,NA,NA,NA
Hyena_1698,2,4,NA,NA,NA,NA
Hyena_1700,2,5,NA,NA,NA,NA
Hyena_1701,2,1,NA,NA,NA,NA
Hyena_1702,2,1,NA,NA,NA,NA
Hyena_1703,2,11,NA,NA,NA,NA
Hyena_1704,2,4,NA,NA,NA,NA
Hyena_1705,2,4,NA,NA,NA,NA
Hyena_1708,2,14,NA,NA,NA,NA
Hyena_1709,2,14,NA,NA,NA,NA
Hyena_1710,2,7,NA,NA,NA,NA
Hyena_1711,2,7,NA,NA,NA,NA
Hyena_1712,2,9,NA,NA,NA,NA
Hyena_1713,2,9,NA,NA,NA,NA
Hyena_1715,2,10,NA,NA,NA,NA
Hyena_1716,2,11,NA,NA,NA,NA
Hyena_1717,2,13,NA,NA,NA,NA
Hyena_1719,2,3,NA,NA,NA,NA
Hyena_1720,2,3,NA,NA,NA,NA
Hyena_1721,2,8,NA,NA,NA,NA
Hyena_1722,2,8,NA,NA,NA,NA
Hyena_1723,2,7,NA,NA,NA,NA
Hyena_1724,2,7,NA,NA,NA,NA
Hyena_1725,2,2,NA,NA,NA,NA
Hyena_1726,2,8,NA,NA,NA,NA
Hyena_1727,2,8,NA,NA,NA,NA
Hyena_1728,2,5,NA,NA,NA,NA
Hyena_1729,2,5,NA,NA,NA,NA
Hyena_1730,3,6,11,NA,NA,NA
Hyena_1731,2,11,NA,NA,NA,NA
Hyena_1732,2,11,NA,NA,NA,NA
Hyena_1733,2,5,NA,NA,NA,NA
Hyena_1734,2,5,NA,NA,NA,NA
Hyena_1736,3,12,11,NA,NA,NA
Hyena_1737,2,3,NA,NA,NA,NA
Hyena_1738,2,3,NA,NA,NA,NA
Hyena_1741,2,9,NA,NA,NA,NA
Hyena_1744,2,17,NA,NA,NA,NA
Hyena_1746,2,3,NA,NA,NA,NA
Hyena_1747,2,3,NA,NA,NA,NA
Hyena_1748,2,8,NA,NA,NA,NA
Hyena_1750,2,2,NA,NA,NA,NA
Hyena_1751,3,12,11,NA,NA,NA
Hyena_1754,3,17,11,NA,NA,NA
Hyena_1755,3,17,11,NA,NA,NA
Hyena_1756,3,5,11,NA,NA,NA
Hyena_1757,3,5,11,NA,NA,NA
Hyena_1758,2,4,NA,NA,NA,NA
Hyena_1759,2,4,NA,NA,NA,NA
Hyena_1760,2,9,NA,NA,NA,NA
Hyena_1761,2,16,NA,NA,NA,NA
Hyena_1762,2,16,NA,NA,NA,NA
Hyena_1763,2,10,NA,NA,NA,NA
Hyena_1765,2,13,NA,NA,NA,NA
Hyena_1767,2,6,NA,NA,NA,NA
Hyena_1770,2,3,NA,NA,NA,NA
Hyena_1771,2,3,NA,NA,NA,NA
Hyena_1773,3,2,11,NA,NA,NA
Hyena_1774,3,12,14,NA,NA,NA
Hyena_1776,3,5,11,NA,NA,NA
Hyena_1777,2,9,NA,NA,NA,NA
Hyena_1778,3,11,11,NA,NA,NA
Hyena_1779,3,11,11,NA,NA,NA
Hyena_1781,3,4,5,NA,NA,NA
Hyena_1783,3,8,5,NA,NA,NA
Hyena_1784,3,13,11,NA,NA,NA
Hyena_1785,2,16,NA,NA,NA,NA
Hyena_1786,2,16,NA,NA,NA,NA
Hyena_1787,2,10,NA,NA,NA,NA
Hyena_1788,2,15,NA,NA,NA,NA
Hyena_1789,2,6,NA,NA,NA,NA
Hyena_1790,3,6,8,NA,NA,NA
Hyena_1791,3,2,5,NA,NA,NA
Hyena_1792,3,2,5,NA,NA,NA
Hyena_1793,2,15,NA,NA,NA,NA
Hyena_1794,3,7,11,NA,NA,NA
Hyena_1795,3,3,1,NA,NA,NA
Hyena_1796,3,3,5,NA,NA,NA
Hyena_1797,2,5,NA,NA,NA,NA
Hyena_1799,3,13,5,NA,NA,NA
Hyena_1800,3,13,5,NA,NA,NA
Hyena_1801,2,4,NA,NA,NA,NA
Hyena_1802,2,4,NA,NA,NA,NA
Hyena_1803,3,9,3,NA,NA,NA
Hyena_1805,3,16,1,NA,NA,NA
Hyena_1806,3,16,1,NA,NA,NA
Hyena_1807,2,8,NA,NA,NA,NA
Hyena_1809,2,14,NA,NA,NA,NA
Hyena_1811,3,11,1,NA,NA,NA
Hyena_1812,3,11,1,NA,NA,NA
Hyena_1813,3,1,1,NA,NA,NA
Hyena_1814,2,3,NA,NA,NA,NA
Hyena_1815,2,3,NA,NA,NA,NA
Hyena_1816,3,6,5,NA,NA,NA
Hyena_1817,2,16,NA,NA,NA,NA
Hyena_1818,3,10,3,NA,NA,NA
Hyena_1819,2,10,NA,NA,NA,NA
Hyena_1820,2,5,NA,NA,NA,NA
Hyena_1821,3,7,1,NA,NA,NA
Hyena_1822,4,7,4,4,NA,NA
Hyena_1825,3,8,1,NA,NA,NA
Hyena_1826,3,8,1,NA,NA,NA
Hyena_1827,2,13,NA,NA,NA,NA
Hyena_1828,2,13,NA,NA,NA,NA
Hyena_1829,3,14,5,NA,NA,NA
Hyena_1830,4,2,12,11,NA,NA
Hyena_1831,2,5,NA,NA,NA,NA
Hyena_1832,4,2,12,11,NA,NA
Hyena_1833,2,1,NA,NA,NA,NA
Hyena_1835,3,9,5,NA,NA,NA
Hyena_1836,3,9,5,NA,NA,NA
Hyena_1838,2,25,NA,NA,NA,NA
Hyena_1839,2,25,NA,NA,NA,NA
Hyena_1840,3,14,5,NA,NA,NA
Hyena_1842,3,16,5,NA,NA,NA
Hyena_1843,2,26,NA,NA,NA,NA
Hyena_1844,2,26,NA,NA,NA,NA
Hyena_1845,4,20,2,3,NA,NA
Hyena_1846,3,3,11,NA,NA,NA
Hyena_1847,4,13,4,4,NA,NA
Hyena_1848,3,2,11,NA,NA,NA
Hyena_1849,3,2,11,NA,NA,NA
Hyena_1850,4,8,8,5,NA,NA
Hyena_1851,4,8,8,5,NA,NA
Hyena_1852,4,5,4,1,NA,NA
Hyena_1853,2,5,NA,NA,NA,NA
Hyena_1854,4,6,4,1,NA,NA
Hyena_1855,2,19,NA,NA,NA,NA
Hyena_1857,4,3,8,7,NA,NA
Hyena_1858,4,7,12,11,NA,NA
Hyena_1859,3,12,5,NA,NA,NA
Hyena_1860,3,17,5,NA,NA,NA
Hyena_1861,4,23,8,7,NA,NA
Hyena_1864,3,1,9,NA,NA,NA
Hyena_1867,4,14,8,7,NA,NA
Hyena_1868,4,7,8,7,NA,NA
Hyena_1869,3,25,2,NA,NA,NA
Hyena_1870,3,25,2,NA,NA,NA
Hyena_1871,2,13,NA,NA,NA,NA
Hyena_1873,4,2,8,7,NA,NA
Hyena_1874,4,29,1,1,NA,NA
Hyena_1876,4,11,4,4,NA,NA
Hyena_1877,3,11,3,1,NA,NA
Hyena_1878,2,12,NA,NA,NA,NA
Hyena_1880,3,29,3,1,NA,NA
Hyena_1881,4,5,8,7,NA,NA
Hyena_1882,3,7,5,NA,NA,NA
Hyena_1883,2,19,1,NA,NA,NA
Hyena_1884,2,19,1,NA,NA,NA
Hyena_1893,4,24,4,1,NA,NA
Hyena_1894,4,24,4,1,NA,NA
Hyena_1895,4,18,2,3,NA,NA
Hyena_1896,3,1,9,NA,NA,NA
Hyena_1897,3,1,9,NA,NA,NA
Hyena_1898,3,17,5,1,NA,NA
Hyena_1899,3,17,5,1,NA,NA
Hyena_1900,4,25,4,4,NA,NA
Hyena_1901,4,25,4,4,NA,NA
Hyena_1902,4,16,4,4,NA,NA
Hyena_1903,4,16,4,4,NA,NA
Hyena_1904,4,29,2,3,NA,NA
Hyena_1905,3,13,3,1,NA,NA
Hyena_1906,3,13,3,1,NA,NA
Hyena_1907,3,35,1,NA,NA,NA
Hyena_1908,3,18,3,1,NA,NA
Hyena_1909,3,18,3,1,NA,NA
Hyena_1910,3,14,3,NA,NA,NA
Hyena_1913,4,5,4,4,NA,NA
Hyena_1914,4,24,4,1,NA,NA
Hyena_1915,3,10,5,NA,NA,NA
Hyena_1916,3,3,2,NA,NA,NA
Hyena_1917,3,2,9,NA,NA,NA
Hyena_1918,3,2,9,NA,NA,NA
Hyena_1919,3,32,3,NA,NA,NA
Hyena_1920,4,4,4,1,NA,NA
Hyena_1928,3,1,9,NA,NA,NA
Hyena_1929,3,1,9,NA,NA,NA
Hyena_1933,4,5,8,7,NA,NA
