ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_226,2,20,NA,NA,NA,NA
Hyena_227,4,5,1,5,NA,NA
Hyena_228,4,5,1,5,NA,NA
Hyena_229,4,24,5,11,NA,NA
Hyena_230,2,24,NA,NA,NA,NA
Hyena_231,2,10,NA,NA,NA,NA
Hyena_232,4,10,1,7,NA,NA
Hyena_233,4,3,5,11,NA,NA
Hyena_234,3,2,4,NA,NA,NA
Hyena_235,3,2,4,NA,NA,NA
Hyena_236,4,21,5,11,NA,NA
Hyena_237,3,18,7,NA,NA,NA
Hyena_238,2,21,NA,NA,NA,NA
Hyena_239,3,18,7,NA,NA,NA
Hyena_241,4,8,1,5,NA,NA
Hyena_242,4,14,1,5,NA,NA
Hyena_243,3,6,9,NA,NA,NA
Hyena_244,4,30,5,11,NA,NA
Hyena_245,4,30,5,11,NA,NA
Hyena_246,2,10,NA,NA,NA,NA
Hyena_247,2,4,NA,NA,NA,NA
Hyena_248,2,4,NA,NA,NA,NA
Hyena_249,2,14,NA,NA,NA,NA
Hyena_250,2,14,NA,NA,NA,NA
Hyena_251,3,2,9,NA,NA,NA
Hyena_252,3,2,1,NA,NA,NA
Hyena_253,4,3,1,5,NA,NA
Hyena_256,3,23,9,NA,NA,NA
Hyena_259,3,4,9,NA,NA,NA
Hyena_261,4,24,5,11,NA,NA
Hyena_262,4,28,4,4,NA,NA
Hyena_264,4,23,5,11,NA,NA
Hyena_265,4,23,5,11,NA,NA
Hyena_268,4,9,1,5,NA,NA
Hyena_269,2,15,NA,NA,NA,NA
Hyena_270,4,1,4,4,NA,NA
Hyena_271,4,1,4,4,NA,NA
Hyena_272,3,5,7,NA,NA,NA
Hyena_273,3,5,7,NA,NA,NA
Hyena_277,2,25,NA,NA,NA,NA
Hyena_278,3,2,9,NA,NA,NA
Hyena_279,4,2,4,4,NA,NA
Hyena_281,3,16,9,NA,NA,NA
Hyena_282,3,16,9,NA,NA,NA
Hyena_283,4,20,1,5,NA,NA
Hyena_284,4,20,1,5,NA,NA
Hyena_285,2,9,19,NA,NA,NA
Hyena_287,3,10,9,NA,NA,NA
Hyena_288,3,12,9,NA,NA,NA
Hyena_289,3,12,9,NA,NA,NA
Hyena_290,4,2,10,1,NA,NA
Hyena_293,2,14,NA,NA,NA,NA
Hyena_295,3,6,9,NA,NA,NA
Hyena_296,4,27,1,5,NA,NA
Hyena_297,2,1,NA,NA,NA,NA
Hyena_299,5,4,5,5,11,NA
Hyena_300,3,1,9,NA,NA,NA
Hyena_301,4,17,4,4,NA,NA
Hyena_303,3,7,7,NA,NA,NA
Hyena_304,2,12,23,NA,NA,NA
Hyena_305,4,17,1,5,NA,NA
Hyena_307,4,32,1,5,NA,NA
Hyena_308,4,32,1,5,NA,NA
Hyena_309,4,15,4,4,NA,NA
Hyena_311,4,31,4,4,NA,NA
Hyena_313,2,6,NA,NA,NA,NA
Hyena_314,2,6,NA,NA,NA,NA
Hyena_315,4,26,1,5,NA,NA
Hyena_316,3,7,7,NA,NA,NA
Hyena_317,2,3,NA,NA,NA,NA
Hyena_318,2,3,NA,NA,NA,NA
Hyena_319,4,8,1,5,NA,NA
Hyena_320,4,20,16,5,NA,NA
Hyena_321,4,15,4,4,NA,NA
Hyena_322,4,11,1,5,NA,NA
Hyena_323,4,11,1,5,NA,NA
Hyena_324,4,23,1,5,NA,NA
Hyena_325,4,4,16,5,NA,NA
Hyena_326,4,4,16,5,NA,NA
Hyena_327,3,1,16,NA,NA,NA
Hyena_328,4,29,1,5,NA,NA
Hyena_329,3,3,8,NA,NA,NA
Hyena_330,5,2,5,5,11,NA
Hyena_333,4,1,1,5,NA,NA
Hyena_334,4,30,1,5,NA,NA
Hyena_335,4,22,1,5,NA,NA
Hyena_336,4,22,1,5,NA,NA
Hyena_337,4,23,4,4,NA,NA
Hyena_338,4,23,4,4,NA,NA
Hyena_340,2,5,NA,NA,NA,NA
Hyena_341,2,5,NA,NA,NA,NA
Hyena_342,4,15,4,1,NA,NA
Hyena_343,2,15,NA,NA,NA,NA
Hyena_344,4,8,5,12,NA,NA
Hyena_345,4,8,1,5,NA,NA
Hyena_346,4,37,1,5,NA,NA
Hyena_347,4,37,1,5,NA,NA
Hyena_348,2,29,NA,NA,NA,NA
Hyena_349,3,29,22,NA,NA,NA
Hyena_350,3,30,22,NA,NA,NA
Hyena_351,4,30,1,5,NA,NA
Hyena_352,4,1,1,5,NA,NA
Hyena_353,4,1,13,11,NA,NA
Hyena_354,4,4,4,4,NA,NA
Hyena_356,4,14,4,1,NA,NA
Hyena_357,2,14,NA,NA,NA,NA
Hyena_358,4,12,1,5,NA,NA
Hyena_359,2,4,23,NA,NA,NA
Hyena_360,2,20,NA,NA,NA,NA
Hyena_362,4,17,4,4,NA,NA
Hyena_363,4,17,4,4,NA,NA
Hyena_364,5,11,5,5,11,NA
Hyena_366,4,46,1,5,NA,NA
Hyena_367,4,46,1,5,NA,NA
Hyena_368,4,7,7,5,NA,NA
